Name,BIC,City,Address,Phone,IsClosed
"ЗАО ""Абсолютбанк""",ABLTBY22,Минск,"220023, г. Минск, пр. Независимости, 95",+375 (29) 675-45-78,Нет
"ЗАО ""БТА Банк""",AEBKBY2X,Минск,"220123, г. Минск, ул. В. Хоружей, 20",+375 (17) 334-54-34,Нет
"ФИЛИАЛ N100 БРЕСТСКОЕ ОБЛ. УПРАВЛЕНИЕ ОАО ""АСБ БЕЛАРУСБАНК""",AKBBBY21100,Брест,"224020, г. Брест, ул. Московская, 202",+375 (162) 27-75-21,Нет
"ФИЛИАЛ N113 ОАО ""АСБ БЕЛАРУСБАНК""",AKBBBY21113,Кобрин,"225306, г. Кобрин, ул. Суворова, 27",+375 (1642) 7-75-55,Нет
"ФИЛИАЛ N121 ОАО ""АСБ БЕЛАРУСБАНК""",AKBBBY21121,Пинск,"225702, г. Пинск, ул. Иркутско-Пинской дивизии, 35А",+375 (165) 32-41-80,Нет
"ФИЛИАЛ N200 ВИТЕБСКОЕ ОБЛ. УПРАВЛЕНИЕ ОАО ""АСБ БЕЛАРУСБАНК""",AKBBBY21200,Витебск,"210015, г. Витебск, ул. Ленина, 10Б",+375 (212) 20-48-03,Нет
"ФИЛИАЛ N214 ОАО ""АСБ БЕЛАРУСБАНК""",AKBBBY21214,Новополоцк,"211448, г. Новополоцк, ул. Дружбы, 4",+375 (214) 59-90-04,Нет
"ФИЛИАЛ N215 ОАО ""АСБ БЕЛАРУСБАНК""",AKBBBY21215,Орша,"211388, г. Орша, ул. Владимира Ленина, 81",+375 (216) 28-02-11,Нет
"ФИЛИАЛ N216 ОАО ""АСБ БЕЛАРУСБАНК""",AKBBBY21216,Полоцк,"211415, г. Полоцк, ул. Ф. Скорины, 4",+375 (214) 41-43-92,Нет
"ФИЛИАЛ N 300 ГОМЕЛЬСКОЕ ОБЛ. УПРАВЛЕНИЕ ОАО ""АСБ БЕЛАРУСБАНК""",AKBBBY21300,Гомель,"246001, г. Гомель, ул. Фрунзе, 6А",+375 (232) 79-14-00,Нет
"ФИЛИАЛ N302 ОАО ""АСБ БЕЛАРУСБАНК""",AKBBBY21302,Гомель,"246018, г. Гомель, пр. Космонавтов, 32",+375 (232) 30-37-35,Нет
"ФИЛИАЛ N312 ОАО ""АСБ БЕЛАРУСБАНК""",AKBBBY21312,Жлобин,"246172, г. Жлобин, ул. Урицкого, 86",+375 (2334) 7-80-02,Нет
